"Timestamp","Cinsiyet","Şirketiniz hangi lokasyonda?","Tam zamanlı mı yarı zamanlı mı çalışıyorsunuz?","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Kaç yıllık deneyiminiz var?","Çalıştığınız Sektor? (Otomotiv, Bankacilik, Saglik vs)","Pozisyonunuzun Ismi?","Pozisyonunuzun Ismi?","Aylık Ortalama Net Maaşınız? (Turk Lirasi)","Yıllık ek net gelirleriniz? (prim bonus ve benzeri gelirlerin toplamı)","Yan haklarınız nelerdir?","Temmuz & Ağustos dönemi zam oranınız nedir?"
"9/25/2024 14:53:49","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Sağlık ve Tıp","Ruhsatlandırma uzmanı","Ruhsatlandırma Uzmanı","31.000-40.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:53:50","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Growth Marketing Specialist","Growth Marketing Specialist","31.000-40.000 TL","10.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:53:56","Kadın","Yurt dışı","Tam zamanlı","Uzaktan","1-49","0-1 Yıl","Diğer","Social Media Marketing Specialist","Social Media Marketing Specialist","31.000-40.000 TL","10.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 14:53:57","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Otomotiv","Organizasyon Geliştirme Uzmanı","Organizasyon Geliştirme Uzmanı","21.000-30.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Ulaşım Yardımı","Almadım"
"9/25/2024 14:53:58","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","Üretim","Satış temsilcisi","Satış Temsilcisi","21.000-30.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 14:54:00","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Telekomünikasyon","Pazarlama uzmanı","Pazarlama Uzmanı","21.000-30.000 TL","10.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:54:37","Kadın","Türkiye","Yarı zamanlı","Ofiste","1-49","5-7 Yıl","Sağlık ve Tıp","Fizyoterapist ","Fizyoterapist ","21.000-30.000 TL","31.000-50.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:54:38","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","0-1 Yıl","Mühendislik","Proje teknik mühendisi","Proje Teknik Mühendisi","51.000-60.000 TL","71.000-90.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 14:55:00","Kadın","Türkiye","Tam zamanlı","Hybrid","100-149","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Yazılım geliştirici ","Yazılım Geliştirici ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Henuz belli degil"
"9/25/2024 14:55:02","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","0-1 Yıl","Eğitim","Sınıf öğretmeni","Sınıf Öğretmeni","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:55:05","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","1-3 Yıl","Üretim","Koruyucu bakım teknikeri","Koruyucu Bakım Teknikeri","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:55:19","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","3-5 Yıl","Bilgi Teknolojileri ve Yazılım","İş analistliği","İş Analistliği","61.000-70.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%21-%35"
"9/25/2024 14:55:24","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Tekstil ve Hazır Giyim","Maliyet muhasebesi ve operasyonel verimlilik","Maliyet Muhasebesi Ve Operasyonel Verimlilik","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:55:25","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Gıda ve İçecek","R&D engineer","R&D Engineer","51.000-60.000 TL","111.000-150.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%11-%20"
"9/25/2024 14:55:31","Kadın","Türkiye","Tam zamanlı","Uzaktan","50-99","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Android developer","Android Developer","81.000-90.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 14:55:33","Kadın","Türkiye","Tam zamanlı","Uzaktan","50-99","1-3 Yıl","Diğer","Copywriter","Copywriter","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 14:55:36","Erkek","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Bilgi Teknolojileri ve Yazılım","Frontend developer","Frontend Developer","51.000-60.000 TL","51.000-70.000 TL","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%36-%50"
"9/25/2024 14:55:36","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Otomotiv","Lojistik Uzmanı","Lojistik Uzmanı","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 14:55:40","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","3-5 Yıl","Turizm ve Konaklama","Satin Alma Uzmani","Satin Alma Uzmani","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:55:41","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Eğitim","Okul Öncesi Öğretmeni","Okul Öncesi Öğretmeni","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:55:42","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","0-1 Yıl","Dağıtım ve Toptan Tıcaret","Müşteri Temsilcisi ","Müşteri Temsilcisi ","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:55:44","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","Ihracat sorumlusu ","Ihracat Sorumlusu ","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:55:46","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","İnşaat","Lojistik Uzmanı","Lojistik Uzmanı","51.000-60.000 TL","91.000-110.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 14:55:59","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","3-5 Yıl","Sağlık ve Tıp","Klinik araştırma sözleşme uzmanı","Klinik Araştırma Sözleşme Uzmanı","71.000-80.000 TL","71.000-90.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:55:59","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Tekstil ve Hazır Giyim","Mağaza müdürü","Mağaza Müdürü","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:56:04","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","12 ve ustu","Perakende ve E-tıcaret","Muhasebe meslek elemanı","Muhasebe Meslek Elemanı","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:56:09","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Business Development Representative","Business Development Representative","31.000-40.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Henuz belli degil"
"9/25/2024 14:56:10","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","3-5 Yıl","Mühendislik","Grafik Tasarım Uzmanı","Grafik Tasarım Uzmanı","21.000-30.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası","Almadım"
"9/25/2024 14:56:12","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Pazarlama Uzmani","Pazarlama Uzmani","41.000-50.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:56:16","Kadın","Türkiye","Tam zamanlı","Ofiste","150-199","1-3 Yıl","Gıda ve İçecek","Operatör ","Operatör ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:56:24","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Mühendislik","Application Specialist","Application Specialist","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Henuz belli degil"
"9/25/2024 14:56:28","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Perakende ve E-tıcaret","Performance Marketing Executive","Performance Marketing Executive","51.000-60.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%5-%10"
"9/25/2024 14:56:30","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Şehir plancı","Şehir Plancı","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 14:56:30","Erkek","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","9-12 Yıl","Gıda ve İçecek","Project executive","Project Executive","91.000-100.000 TL","150.000 TL ve üstü","Özel Sağlık Sigortası, Şirket Telefonu, Şirket Aracı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%21-%35"
"9/25/2024 14:56:33","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Bilgi Teknolojileri ve Yazılım","İş Analisti","İş Analisti","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:56:34","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","5-7 Yıl","İnşaat","Mimar","Mimar","41.000-50.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 14:56:41","Kadın","Türkiye","Tam zamanlı","Hybrid","100-149","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","yazılım test mühendisi ","Yazılım Test Mühendisi ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:56:46","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Diğer","Üretim Elemanı ","Üretim Elemanı ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Ulaşım Yardımı","Almadım"
"9/25/2024 14:56:50","Kadın","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","UX/UI Designer","Ux/Ui Designer","41.000-50.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Henuz belli degil"
"9/25/2024 14:56:52","Kadın","Türkiye","Tam zamanlı","Uzaktan","150-199","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Ödeme Uzmani","Ödeme Uzmani","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:57:07","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","5-7 Yıl","Bilgi Teknolojileri ve Yazılım","Kıdemli yazılım geliştirici","Kıdemli Yazılım Geliştirici","81.000-90.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%5-%10"
"9/25/2024 14:57:21","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Finans ve Muhasebe","Muhasebe","Muhasebe","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:57:23","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","0-1 Yıl","Perakende ve E-tıcaret","E ticaret uzman yardımcısı","E Ticaret Uzman Yardımcısı","31.000-40.000 TL","Ek gelirim yok","Şirket Telefonu","%5-%10"
"9/25/2024 14:57:24","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Bilgi Teknolojileri ve Yazılım","Proje Yöneticisi","Proje Yöneticisi","31.000-40.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 14:57:24","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","3-5 Yıl","Diğer","Satış danışmanı ","Satış Danışmanı ","21.000-30.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:57:40","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Dijital Medya ve Eğlence","Digital Media & Influencer Marketing Manager","Digital Media & Influencer Marketing Manager","21.000-30.000 TL","Ek gelirim yok","Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 14:57:42","Kadın","Türkiye","Yarı zamanlı","Uzaktan","1-49","0-1 Yıl","Dijital Medya ve Eğlence","Product manager","Product Manager","10.000-20.000 TL","20.000-30.000 TL","Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 14:58:01","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Diğer","Organizasyon sorumlusu ","Organizasyon Sorumlusu ","10.000-20.000 TL","20.000-30.000 TL","Şirket Aracı","Almadım"
"9/25/2024 14:58:02","Kadın","Türkiye","Tam zamanlı","Hybrid","150-199","5-7 Yıl","Diğer","İnsan Kaynakları Uzmanı","İnsan Kaynakları Uzmanı","41.000-50.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Ulaşım Yardımı, Şirket Telefonu","%11-%20"
"9/25/2024 14:58:14","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","3-5 Yıl","Sağlık ve Tıp","Dijital Pazarlama Supervisor ","Dijital Pazarlama Supervisor ","51.000-60.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%5-%10"
"9/25/2024 14:58:14","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Otomotiv","Proje yöneticisi ","Proje Yöneticisi ","41.000-50.000 TL","Ek gelirim yok","Şirket Telefonu","%11-%20"
"9/25/2024 14:58:29","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","5-7 Yıl","Üretim","Satın Alm Sorumlusu","Satın Alm Sorumlusu","21.000-30.000 TL","Ek gelirim yok","Ulaşım Yardımı","%5-%10"
"9/25/2024 14:58:30","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","9-12 Yıl","Mühendislik","Proje yoneticisi","Proje Yoneticisi","101.000-120.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%21-%35"
"9/25/2024 14:58:31","Erkek","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","0-1 Yıl","Bilgi Teknolojileri ve Yazılım","Veri mühendisi ","Veri Mühendisi ","61.000-70.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%11-%20"
"9/25/2024 14:58:32","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","12 ve ustu","Otomotiv","Bütçe Raporlama Kıdemli Uzmanı","Bütçe Raporlama Kıdemli Uzmanı","51.000-60.000 TL","51.000-70.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Henuz belli degil"
"9/25/2024 14:58:34","Kadın","Türkiye","Tam zamanlı","Ofiste","50-99","1-3 Yıl","Finans ve Muhasebe","MUHASEBE VE İNSAN KAYNAKLARI SORUMLUSU","Muhasebe Ve İnsan Kaynaklari Sorumlusu","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","%36-%50"
"9/25/2024 14:58:45","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","9-12 Yıl","Bilgi Teknolojileri ve Yazılım","Yönetici asistanı ","Yönetici Asistanı ","31.000-40.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:58:51","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","7-9 Yıl","Perakende ve E-tıcaret","Dijital pazarlama ve e-ticaret müdürü ","Dijital Pazarlama Ve E-Ticaret Müdürü ","21.000-30.000 TL","51.000-70.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:58:59","Kadın","Türkiye","Yarı zamanlı","Uzaktan","1-49","1-3 Yıl","Dijital Medya ve Eğlence","İçerik Üreticisi","İçerik Üreticisi","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:59:09","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","İnşaat","Teknik Ofis Mühendisi","Teknik Ofis Mühendisi","21.000-30.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:59:12","Kadın","Türkiye","Yarı zamanlı","Hybrid","200 ve ustu","0-1 Yıl","Otomotiv","Sürdürülebilirlik Uzmanı","Sürdürülebilirlik Uzmanı","21.000-30.000 TL","Ek gelirim yok","Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 14:59:20","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","3-5 Yıl","Finans ve Muhasebe","Finansal kiralama satın alma yetkilisi ","Finansal Kiralama Satın Alma Yetkilisi ","21.000-30.000 TL","20.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","%21-%35"
"9/25/2024 14:59:28","Kadın","Türkiye","Yarı zamanlı","Ofiste","50-99","0-1 Yıl","Tekstil ve Hazır Giyim","Kasiyer","Kasiyer","10.000-20.000 TL","Ek gelirim yok","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:59:31","Erkek","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","7-9 Yıl","İnşaat","Key account sales manager","Key Account Sales Manager","41.000-50.000 TL","111.000-150.000 TL","Özel Sağlık Sigortası","Almadım"
"9/25/2024 14:59:35","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","0-1 Yıl","Üretim","Planlama Sorumlusu","Planlama Sorumlusu","10.000-20.000 TL","Ek gelirim yok","Ulaşım Yardımı","Almadım"
"9/25/2024 14:59:36","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","Gazeteci ","Gazeteci ","21.000-30.000 TL","20.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","%5-%10"
"9/25/2024 14:59:39","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","9-12 Yıl","Mühendislik","Pazarlama Yöneticisi","Pazarlama Yöneticisi","51.000-60.000 TL","Ek gelirim yok","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu, Şirket Aracı","Almadım"
"9/25/2024 14:59:45","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","Sekreter ","Sekreter ","10.000-20.000 TL","Ek gelirim yok","Özel Sağlık Sigortası","Almadım"
"9/25/2024 14:59:51","Kadın","Yurt dışı","Tam zamanlı","Hybrid","200 ve ustu","7-9 Yıl","Bilgi Teknolojileri ve Yazılım","Senior Program Manager","Senior Program Manager","120.000 TL ve üstü","150.000 TL ve üstü","Ulaşım Yardımı, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 15:00:02","Kadın","Türkiye","Tam zamanlı","Ofiste","100-149","1-3 Yıl","Gıda ve İçecek","Gıda mühendisi","Gıda Mühendisi","21.000-30.000 TL","Ek gelirim yok","Ulaşım Yardımı","Almadım"
